id,action,details,created_at
log_1785864880360_d5a1,Corn Flour (Stock OUT (-)),'-1 kg | Manual OUT entry recorded for J012,2026-08-04T17:34:40.361Z
log_1785864898798_56o6,Ajinomoto (Ajina) (Stock OUT (-)),'-2 kg | Manual OUT entry recorded for J016,2026-08-04T17:34:58.801Z
log_1785864910179_z8tq,Refined Oil (রেফাইন্ড অয়েল) (Stock OUT (-)),'-1 L | Manual OUT entry recorded for J003,2026-08-04T17:35:10.181Z
log_1785864922987_v7wb,Mustard Oil (মাস্টার অয়েল) (Stock OUT (-)),'-1 L | Manual OUT entry recorded for J004,2026-08-04T17:35:22.989Z
log_1785864937341_056f,Rice (রাইস) (Stock OUT (-)),'-3 packet | Manual OUT entry recorded for J001,2026-08-04T17:35:37.343Z
log_1785864959818_be42,Jeera (Cumin Seeds) (Stock OUT (-)),'-250 g | Manual OUT entry recorded for J019,2026-08-04T17:35:59.820Z
log_1785866784751_6mgv,Attar / Essence (Stock OUT (-)),'-1 pcs | Manual OUT entry recorded for J023,2026-08-04T18:06:24.755Z
log_1785866796854_c4ja,Atta (আটা) (Stock OUT (-)),'-5 kg | Manual OUT entry recorded for J006,2026-08-04T18:06:36.856Z
log_1785866830144_z526,Pure Ghee (Stock OUT (-)),'-1 box | Manual OUT entry recorded for J042,2026-08-04T18:07:10.147Z
log_1785866843144_5gz4,Vinegar (Stock OUT (-)),'-1 pcs | Manual OUT entry recorded for J011,2026-08-04T18:07:23.146Z
log_1785867036876_swqj,Long (Cloves) (Stock OUT (-)),'-180 g | Manual OUT entry recorded for J035,2026-08-04T18:10:36.880Z
log_1785867077467_b5ym,Chili Sauce (Stock OUT (-)),'-1 pcs | Manual OUT entry recorded for J009,2026-08-04T18:11:17.471Z
log_1785867090073_1hj2,Kashmiri Chilli Powder (Stock OUT (-)),'-2 pcs | Manual OUT entry recorded for J015,2026-08-04T18:11:30.076Z
log_1785867139426_2cpn,Sugar (Stock OUT (-)),'-2300 kg | Manual OUT entry recorded for J029,2026-08-04T18:12:19.432Z
log_1785867213358_m59h,Sugar (Delete wrong IN),'+7 kg | Deleted wrong IN entry for SKU J029,2026-08-04T18:13:33.363Z
log_1785867226261_0hfj,Sugar (Stock IN (+)),'+7000 g | Manual IN entry recorded for J029,2026-08-04T18:13:46.264Z
log_1785868870915_7bxt,Potato (আলু) (Stock IN (+)),'+20 kg | Manual IN entry recorded for J075,2026-08-04T18:41:10.920Z
log_1785868903676_75fr,Onion (পেঁয়াজ) (Stock IN (+)),'+30 kg | Manual IN entry recorded for J076,2026-08-04T18:41:43.678Z
log_1785868940688_602s,Capsicum (Stock IN (+)),'+4.5 kg | Manual IN entry recorded for J079,2026-08-04T18:42:20.694Z
log_1785868961590_9tkw,Carrot (Stock IN (+)),'+3 kg | Manual IN entry recorded for J080,2026-08-04T18:42:41.593Z
log_1785868986682_8uam,Green Chilli (কাঁচা লঙ্কা) (Stock IN (+)),'+2.5 kg | Manual IN entry recorded for J082,2026-08-04T18:43:06.684Z
log_1785869012766_75t9,Tomato (টমেটো) (Stock IN (+)),'+5 kg | Manual IN entry recorded for J083,2026-08-04T18:43:32.769Z
log_1785869053425_zc65,Cabbage (বাঁধাকপি) (Stock IN (+)),'+10 kg | Manual IN entry recorded for J084,2026-08-04T18:44:13.430Z
log_1785869072068_zdt5,Lemon (লেবু) (Stock IN (+)),'+50 pcs | Manual IN entry recorded for J085,2026-08-04T18:44:32.073Z
log_1785869091358_tb2w,Dhania Pata (Coriander) (Stock IN (+)),'+9 kg | Manual IN entry recorded for J086,2026-08-04T18:44:51.361Z
log_1785869141953_oxy5,Cucumber (শসা) (Stock IN (+)),'+5 kg | Manual IN entry recorded for J088,2026-08-04T18:45:41.956Z
log_1785869180921_2ahh,Cucumber (শসা) (Stock OUT (-)),'-3.3 kg | Manual OUT entry recorded for J088,2026-08-04T18:46:20.924Z
log_1785869272602_dubz,Tomato (টমেটো) (Stock OUT (-)),'-6 kg | Manual OUT entry recorded for J083,2026-08-04T18:47:52.605Z
log_1785869327618_eyjx,Carrot (Stock OUT (-)),'-2.4 kg | Manual OUT entry recorded for J080,2026-08-04T18:48:47.621Z
log_1785869360353_fnsc,Tomato (টমেটো) (Stock IN (+)),'+1 kg | Manual IN entry recorded for J083,2026-08-04T18:49:20.357Z
log_1785869410739_7hvk,Capsicum (Stock OUT (-)),'-2.6 kg | Manual OUT entry recorded for J079,2026-08-04T18:50:10.742Z
log_1785869437894_q94b,Cabbage (বাঁধাকপি) (Stock OUT (-)),'-5.2 kg | Manual OUT entry recorded for J084,2026-08-04T18:50:37.896Z
log_1785869481457_fqbb,Green Chilli (কাঁচা লঙ্কা) (Stock OUT (-)),'-1 kg | Manual OUT entry recorded for J082,2026-08-04T18:51:21.461Z
log_1785869513761_9tat,Dhania Pata (Coriander) (Stock OUT (-)),'-1.5 kg | Manual OUT entry recorded for J086,2026-08-04T18:51:53.764Z
log_1785869542266_f2jy,Potato (আলু) (Stock OUT (-)),'-14 kg | Manual OUT entry recorded for J075,2026-08-04T18:52:22.269Z
log_1785869570673_m9x3,Onion (পেঁয়াজ) (Stock OUT (-)),'-17.5 kg | Manual OUT entry recorded for J076,2026-08-04T18:52:50.675Z
log_1785870005390_wicu,Milk (দুধ) (Stock OUT (-)),'-5 packet | Manual OUT entry recorded for J054,2026-08-04T19:00:05.392Z
log_1785870020727_m782,Milk (দুধ) (Stock IN (+)),'+3 packet | Manual IN entry recorded for J054,2026-08-04T19:00:20.729Z
log_1785870095988_5u2d,Dahi (দই / Curd) (Stock IN (+)),'+18 kg | Manual IN entry recorded for J055,2026-08-04T19:01:35.992Z
log_1785870112197_ltc9,Dahi (দই / Curd) (Delete wrong IN),'+18 kg | Deleted wrong IN entry for SKU J055,2026-08-04T19:01:52.201Z
log_1785870126652_vfnq,Dahi (দই / Curd) (Stock IN (+)),'+16 kg | Manual IN entry recorded for J055,2026-08-04T19:02:06.655Z
log_1785870140163_h3gb,Dahi (দই / Curd) (Stock OUT (-)),'-16 kg | Manual OUT entry recorded for J055,2026-08-04T19:02:20.167Z
log_1785939924823_dq46,Maida (মাইদা) (Stock OUT (-)),'-10 kg | Manual OUT entry recorded for J005,2026-08-05T14:25:24.826Z
log_1785940034959_ejee,Dry Chilli (Stock IN (+)),'+1000 g | Manual IN entry recorded for J027,2026-08-05T14:27:14.961Z
log_1785942899651_z6qv,rabar hand glove (Add Item),'+3 packet | Created new stock item with SKU J135,2026-08-05T15:14:59.661Z
log_1785942932899_2swt,1000ml Container (Stock IN (+)),'+500 pcs | Manual IN entry recorded for J104,2026-08-05T15:15:32.903Z
log_1785942956169_qzw6,750ml Silver Container (Stock IN (+)),'+500 pcs | Manual IN entry recorded for J105,2026-08-05T15:15:56.171Z
log_1785942972850_c1wt,750ml Container (Stock IN (+)),'+500 pcs | Manual IN entry recorded for J106,2026-08-05T15:16:12.853Z
log_1785942986785_sz4e,500ml Container (Stock IN (+)),'+150 pcs | Manual IN entry recorded for J107,2026-08-05T15:16:26.787Z
log_1785943012719_t7bl,16x20 Carry Bag (Stock IN (+)),'+10 packet | Manual IN entry recorded for J111,2026-08-05T15:16:52.722Z
log_1785943030001_nmev,13x16 Carry Bag (Stock IN (+)),'+10 packet | Manual IN entry recorded for J112,2026-08-05T15:17:10.003Z
log_1785943055941_6eke,Rubber Band Small (Gardar) (Stock IN (+)),'+250 kg | Manual IN entry recorded for J113,2026-08-05T15:17:35.943Z
log_1785943090314_8yti,Rubber Band Big (Gardar) (Stock IN (+)),'+250 kg | Manual IN entry recorded for J114,2026-08-05T15:18:10.317Z
log_1785943123596_jd3r,Rubber Band Big (Gardar) (Delete wrong IN),'+250 kg | Deleted wrong IN entry for SKU J114,2026-08-05T15:18:43.602Z
log_1785943127107_3n9w,Rubber Band Small (Gardar) (Delete wrong IN),'+250 kg | Deleted wrong IN entry for SKU J113,2026-08-05T15:18:47.112Z
log_1785943148535_r8ss,Rubber Band Small (Gardar) (Stock IN (+)),'+0.25 kg | Manual IN entry recorded for J113,2026-08-05T15:19:08.538Z
log_1785943160330_bng5,Rubber Band Big (Gardar) (Stock IN (+)),'+0.25 kg | Manual IN entry recorded for J114,2026-08-05T15:19:20.332Z
log_1785943176084_73eb,Cling Wrap (Clean Tape) (Stock IN (+)),'+2 pcs | Manual IN entry recorded for J115,2026-08-05T15:19:36.087Z
log_1785943195061_jnhx,7x9 SP Pouch (Stock IN (+)),'+5 packet | Manual IN entry recorded for J116,2026-08-05T15:19:55.064Z
log_1785943213661_p005,9x12 SP Pouch (Stock IN (+)),'+3 packet | Manual IN entry recorded for J117,2026-08-05T15:20:13.664Z
log_1785943226909_jaxk,6x8 SP Pouch (Stock IN (+)),'+3 pcs | Manual IN entry recorded for J118,2026-08-05T15:20:26.911Z
log_1785943246883_deqs,Silver Roll Foil (Stock IN (+)),'+1 packet | Manual IN entry recorded for J121,2026-08-05T15:20:46.887Z
log_1785943288363_a77y,plastic Hand Gloves (Stock IN (+)),'+2 packet | Manual IN entry recorded for J122,2026-08-05T15:21:28.365Z
log_1785943319399_g1p4,Chef Cap (Stock IN (+)),'+2 packet | Manual IN entry recorded for J123,2026-08-05T15:21:59.402Z
log_1785943419314_y46b,Tissue Paper (Stock IN (+)),'+30 packet | Manual IN entry recorded for J108,2026-08-05T15:23:39.317Z
log_1785943473243_yhy5,thermal copy (Stock IN (+)),'+33 pcs | Manual IN entry recorded for J00133,2026-08-05T15:24:33.245Z
log_1785944787556_b20p,Raita Pouch (Stock IN (+)),'+10 packet | Manual IN entry recorded for J109,2026-08-05T15:46:27.560Z
log_1785944822934_jxx2,Plastic Spoon (Stock IN (+)),'+2 packet | Manual IN entry recorded for J119,2026-08-05T15:47:02.937Z
log_1785945130881_5rsr,THUMSUP 1L (Add Item),'+0 pcs | Created new stock item with SKU J136,2026-08-05T15:52:10.883Z
log_1785945217893_d0s7,STRO (Add Item),'+2 packet | Created new stock item with SKU J137,2026-08-05T15:53:37.895Z
log_1785945290175_qkgt,CAMPA JEERA (Add Item),'+24 pcs | Created new stock item with SKU J138,2026-08-05T15:54:50.179Z
log_1785946977550_630s,Campa White 500ml (Stock IN (+)),'+27 pcs | Manual IN entry recorded for J062,2026-08-05T16:22:57.554Z
log_1785947013588_dtdn,Campa White 500ml (Delete wrong IN),'+27 pcs | Deleted wrong IN entry for SKU J062,2026-08-05T16:23:33.592Z
log_1785947026045_f1ga,Campa White 500ml (Stock IN (+)),'+31 pcs | Manual IN entry recorded for J062,2026-08-05T16:23:46.048Z
log_1785947095860_yjac,Campa Black 500ml (Stock IN (+)),'+27 pcs | Manual IN entry recorded for J061,2026-08-05T16:24:55.862Z
log_1785947171877_p5mz,Campa White 100ml (Stock IN (+)),'+24 pcs | Manual IN entry recorded for J060,2026-08-05T16:26:11.880Z
log_1785947215012_crgq,Sprite 500ml (Stock IN (+)),'+4 pcs | Manual IN entry recorded for J073,2026-08-05T16:26:55.015Z
log_1785947241730_zuir,Kinley Soda (Stock IN (+)),'+4 pcs | Manual IN entry recorded for J069,2026-08-05T16:27:21.734Z
log_1785947300869_im18,Bisleri Water 1L (Stock IN (+)),'+73 pcs | Manual IN entry recorded for J064,2026-08-05T16:28:20.872Z
